id,sentiment
881,3
882,3
883,3
884,2
885,2
886,2
887,3
888,3
889,3
890,3
891,3
892,2
893,2
894,2
895,0
896,3
897,3
898,3
899,3
900,1
901,2
902,2
903,2
904,1
905,2
906,2
907,2
908,1
909,1
910,1
911,1
912,3
913,3
914,1
915,2
916,2
917,2
918,3
919,3
920,2
921,2
922,2
923,2
924,3
925,1
926,2
927,2
928,2
929,1
930,1
931,3
932,3
933,1
934,3
935,3
936,3
937,1
938,2
939,2
940,2
941,2
942,1
943,3
944,3
945,3
946,1
947,2
948,2
949,2
950,3
951,3
952,2
953,1
954,2
955,2
956,3
957,2
958,2
959,3
960,3
961,2
962,2
963,3
964,2
965,2
966,1
967,2
968,2
969,2
970,3
971,1
972,3
973,3
974,3
975,2
976,3
977,2
978,2
979,0
980,1
981,3
982,3
983,2
984,2
985,1
986,1
987,2
988,2
989,3
990,3
991,2
992,2
993,1
994,2
995,3
996,2
997,1
998,3
999,2
1000,1
1001,3
1002,2
1003,2
1004,3
1005,1
1006,1
1007,3
1008,2
1009,2
1010,2
1011,2
1012,3
1013,1
1014,1
1015,1
1016,1
1017,2
1018,3
1019,1
1020,1
1021,1
1022,3
1023,1
1024,2
1025,3
1026,3
1027,2
1028,3
1029,3
1030,2
1031,3
1032,3
1033,3
1034,2
1035,2
1036,3
1037,1
1038,1
1039,2
1040,3
1041,1
1042,1
1043,3
1044,2
1045,1
1046,2
1047,2
1048,3
1049,3
1050,3
1051,1
1052,1
1053,4
1054,3
1055,3
1056,1
1057,1
1058,1
1059,1
1060,1
1061,2
1062,2
1063,1
1064,3
1065,3
1066,3
1067,3
1068,2
1069,2
1070,2
1071,1
1072,3
1073,3
1074,1
1075,3
1076,2
1077,2
1078,1
1079,2
1080,2
1081,1
1082,1
1083,2
1084,3
1085,3
1086,2
1087,2
1088,2
1089,2
1090,2
1091,1
1092,1
1093,3
1094,2
1095,1
1096,3
1097,2
1098,2
1099,1
1100,3
1101,1
1102,1
1103,2
1104,3
1105,1
1106,1
1107,2
1108,1
1109,0
1110,2
1111,3
1112,1
1113,2
1114,3
1115,3
1116,2
1117,1
1118,1
1119,1
1120,1
1121,1
1122,2
1123,2
1124,3
1125,1
1126,1
1127,1
1128,2
1129,2
1130,2
1131,2
1132,3
1133,3
1134,3
1135,2
1136,2
1137,1
1138,2
1139,2
1140,3
1141,2
1142,1
1143,2
1144,3
1145,2
1146,3
1147,1
1148,2
1149,2
1150,2
1151,2
1152,1
1153,1
1154,2
1155,3
1156,1
1157,3
1158,2
1159,3
1160,2
1161,3
1162,2
1163,1
1164,2
1165,2
1166,3
1167,2
1168,2
1169,1
1170,3
1171,2
1172,3
1173,2
1174,3
1175,2
1176,3
1177,2
1178,3
1179,3
1180,3
1181,1
1182,1
1183,3
1184,1
1185,2
1186,2
1187,2
1188,0
1189,0
1190,2
1191,1
1192,3
1193,3
1194,0
1195,1
1196,1
1197,3
1198,3
1199,3
1200,2
1201,2
1202,2
1203,1
1204,3
1205,3
1206,2
1207,2
1208,2
1209,0
1210,3
1211,1
1212,3
1213,1
1214,2
1215,2
1216,2
1217,0
1218,0
1219,2
1220,3
1221,2
1222,3
1223,3
1224,1
1225,2
1226,2
1227,2
1228,3
1229,0
1230,3
1231,3
1232,1
1233,2
1234,3
1235,1
1236,2
1237,4
1238,4
1239,3
1240,3
1241,3
1242,2
1243,3
1244,2
1245,2
1246,3
1247,3
1248,1
1249,2
1250,3
1251,3
1252,1
1253,1
1254,2
1255,1
1256,3
1257,3
1258,1
1259,2
1260,3
1261,1
1262,3
1263,2
1264,2
1265,2
1266,1
1267,3
1268,1
1269,3
1270,2
1271,3
1272,3
1273,2
1274,1
1275,2
1276,2
1277,2
1278,1
1279,1
1280,3
1281,3
1282,3
1283,1
1284,3
1285,3
1286,2
1287,1
1288,3
1289,2
1290,3
1291,3
1292,2
1293,2
1294,1
1295,1
1296,2
1297,2
1298,1
1299,3
1300,4
1301,3
1302,2
1303,2
1304,3
1305,2
1306,2
1307,2
1308,2
1309,2
1310,1
1311,1
1312,3
1313,2
1314,1
1315,3
1316,1
1317,3
1318,1
1319,2
1320,3
1321,3
1322,2
1323,2
1324,2
1325,2
1326,4
1327,2
1328,2
1329,2
1330,2
1331,4
1332,2
1333,3
1334,3
1335,3
1336,3
1337,3
1338,3
1339,1
1340,1
1341,1
1342,2
1343,3
1344,2
1345,2
1346,3
1347,2
1348,2
1349,1
1350,3
1351,1
1352,3
1353,3
1354,2
1355,2
1356,3
1357,3
1358,1
1359,1
1360,3
1361,3
1362,3
1363,1
1364,2
1365,2
1366,2
1367,2
1368,1
1369,2
1370,3
1371,3
1372,3
1373,4
1374,2
1375,2
1376,2
1377,1
1378,1
1379,3
1380,2
1381,2
1382,1
1383,1
1384,2
1385,1
1386,3
1387,2
1388,2
1389,3
1390,3
1391,2
1392,3
1393,1
1394,0
1395,2
1396,2
1397,3
1398,3
1399,2
1400,2
1401,2
1402,2
1403,3
1404,3
1405,2
1406,3
1407,3
1408,2
1409,1
1410,1
1411,3
1412,2
1413,3
1414,3
1415,2
1416,3
1417,1
1418,1
1419,3
1420,2
1421,3
1422,3
1423,3
1424,1
1425,1
1426,2
1427,3
1428,3
1429,2
1430,3
1431,3
1432,0
1433,2
1434,2
1435,3
1436,3
1437,1
1438,1
1439,2
1440,3
1441,3
1442,1
1443,1
1444,2
1445,3
1446,3
1447,3
1448,2
1449,2
1450,2
1451,1
1452,0
1453,0
1454,1
